,id,BERTimbau-base_max,BERTimbau-large_max,Albertina_max,Bernice_max
0,4274,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.5555555555555556
1,802,0.4375,0.5625,0.75,0.4375
2,345,0.5185185185185185,0.6296296296296297,0.5555555555555556,0.48148148148148145
3,4970,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
4,5780,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.7857142857142857
5,2383,0.631578947368421,0.5789473684210527,0.5789473684210527,0.5789473684210527
6,1366,0.7894736842105263,0.7368421052631579,0.6842105263157895,0.8421052631578947
7,1140,0.65,0.5,0.45,0.65
8,3472,0.42857142857142855,0.7142857142857143,0.5,0.7142857142857143
9,3568,0.5,0.5769230769230769,0.38461538461538464,0.38461538461538464
10,7510,0.5,0.0,0.0,0.5
11,7723,0.6410256410256411,0.48717948717948717,0.6410256410256411,0.5128205128205128
12,3004,0.6153846153846154,0.5769230769230769,0.5384615384615384,0.5769230769230769
13,1311,1.0,1.0,0.3333333333333333,1.0
14,2732,0.56,0.64,0.56,0.56
15,2759,0.5555555555555556,0.5,0.6111111111111112,0.7222222222222222
16,3714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.7142857142857143
17,1385,0.7083333333333334,0.625,0.5416666666666666,0.3333333333333333
18,5023,0.5,0.5,0.5,0.5
19,5054,0.625,0.5625,0.6875,0.6875
20,5124,0.4666666666666667,0.5333333333333333,0.6,0.5333333333333333
21,5960,0.7142857142857143,0.8571428571428571,1.0,0.8571428571428571
22,6845,0.8461538461538461,0.6923076923076923,0.5384615384615384,0.46153846153846156
23,6843,0.5,0.5,0.5,0.5
24,1280,0.8461538461538461,0.7692307692307693,0.5384615384615384,0.5384615384615384
25,8008,1.0,0.6666666666666666,0.4444444444444444,0.5555555555555556
26,1223,0.36363636363636365,0.4090909090909091,0.5454545454545454,0.6363636363636364
27,8620,0.6086956521739131,0.5217391304347826,0.4782608695652174,0.6521739130434783
28,4266,0.5652173913043478,0.6086956521739131,0.6956521739130435,0.5652173913043478
29,2002,0.625,0.375,0.5,0.75
